中药中文名,中药拼音,中药拉丁名,中药分类（中文）,中药小分子,TCMSP MOL_ID,molecule_ID,小分子全量排名,小分子严格排名,TCMSP靶点Gene Symbol,TCMSP靶点名称,target_ID,DrugBank内部ID,SVM_score,RF_score,边平均分,TCMSP靶点UniProt标准Gene Symbol,TCMSP靶点UniProt编号
枇杷叶,Pipaye,Eriobotryae Folium,止咳平喘药,Damasione,MOL010115,10115,288,,CHRM2,Muscarinic acetylcholine receptor M2,210,617,0.903858,0.714,0.808929,CHRM2,P08172
枇杷叶,Pipaye,Eriobotryae Folium,止咳平喘药,Damasione,MOL010115,10115,288,,GABRA5,Gamma-aminobutyric-acid receptor alpha-5 subunit,181,523,0.951253,0.706,0.8286265,GABRA5,P31644
枇杷叶,Pipaye,Eriobotryae Folium,止咳平喘药,Damasione,MOL010115,10115,288,,PTGS2,Prostaglandin G/H synthase 2,94,290,0.836895,0.766,0.8014475,PTGS2,P35354
罗汉果,Luohanguo,Momordicae Fructus,化痰药,Damasione,MOL010115,10115,288,,CHRM1,Muscarinic acetylcholine receptor M1,38,103,0.905397,0.718,0.8116985,CHRM1,P11229
罗汉果,Luohanguo,Momordicae Fructus,化痰药,Damasione,MOL010115,10115,288,,CHRM2,Muscarinic acetylcholine receptor M2,210,617,0.903858,0.714,0.808929,CHRM2,P08172
罗汉果,Luohanguo,Momordicae Fructus,化痰药,Damasione,MOL010115,10115,288,,GABRA5,Gamma-aminobutyric-acid receptor alpha-5 subunit,181,523,0.951253,0.706,0.8286265,GABRA5,P31644
罗汉果,Luohanguo,Momordicae Fructus,化痰药,Damasione,MOL010115,10115,288,,PTGS2,Prostaglandin G/H synthase 2,94,290,0.836895,0.766,0.8014475,PTGS2,P35354
罗汉果,Luohanguo,Momordicae Fructus,化痰药,Butyl butyrate,MOL010119,10119,4146,,BCHE,Cholinesterase,559,3923,0.814876,0.702,0.758438,,
没药,Moyao,Myrrha,活血祛瘀药,"(5R,8R,9R,10R,13R,14R)-4,4,8,10,14-pentamethyl-1,2,5,6,7,9,11,12,13,15-decahydrocyclopenta[a]phenanthren-3-one",MOL001012,1012,3264,,PTGS2,Prostaglandin G/H synthase 2,94,290,0.812738,0.82,0.816369,PTGS2,P35354
昆布,Kunbu,Thalluslaminariae,化痰药,"(1S,4R,4aR,8aR)-1-isopropyl-4,7-dimethyl-2,3,4,5,6,8a-hexahydro-1H-naphthalen-4a-ol",MOL010120,10120,87,,CHRM1,Muscarinic acetylcholine receptor M1,38,103,0.92501,0.726,0.825505,CHRM1,P11229
昆布,Kunbu,Thalluslaminariae,化痰药,"(1S,4R,4aR,8aR)-1-isopropyl-4,7-dimethyl-2,3,4,5,6,8a-hexahydro-1H-naphthalen-4a-ol",MOL010120,10120,87,,CHRM2,Muscarinic acetylcholine receptor M2,210,617,0.929072,0.7,0.814536,CHRM2,P08172
昆布,Kunbu,Thalluslaminariae,化痰药,"(1S,4R,4aR,8aR)-1-isopropyl-4,7-dimethyl-2,3,4,5,6,8a-hexahydro-1H-naphthalen-4a-ol",MOL010120,10120,87,,CHRNA7,"Neuronal acetylcholine receptor protein, alpha-7 chain",581,4095,0.873764,0.71,0.791882,CHRNA7,P36544
昆布,Kunbu,Thalluslaminariae,化痰药,"(1S,4R,4aR,8aR)-1-isopropyl-4,7-dimethyl-2,3,4,5,6,8a-hexahydro-1H-naphthalen-4a-ol",MOL010120,10120,87,,GABRA5,Gamma-aminobutyric-acid receptor alpha-5 subunit,181,523,0.927573,0.708,0.8177865,GABRA5,P31644
昆布,Kunbu,Thalluslaminariae,化痰药,"(1S,4R,4aR,8aR)-1-isopropyl-4,7-dimethyl-2,3,4,5,6,8a-hexahydro-1H-naphthalen-4a-ol",MOL010120,10120,87,,PTGS2,Prostaglandin G/H synthase 2,94,290,0.81262,0.752,0.78231,PTGS2,P35354
桂枝,Guizhi,Cinnamomi Ramulus,辛温解表药,"(1S,4R,4aR,8aR)-1-isopropyl-4,7-dimethyl-2,3,4,5,6,8a-hexahydro-1H-naphthalen-4a-ol",MOL010120,10120,87,,CHRM1,Muscarinic acetylcholine receptor M1,38,103,0.92501,0.726,0.825505,CHRM1,P11229
桂枝,Guizhi,Cinnamomi Ramulus,辛温解表药,"(1S,4R,4aR,8aR)-1-isopropyl-4,7-dimethyl-2,3,4,5,6,8a-hexahydro-1H-naphthalen-4a-ol",MOL010120,10120,87,,CHRM2,Muscarinic acetylcholine receptor M2,210,617,0.929072,0.7,0.814536,CHRM2,P08172
桂枝,Guizhi,Cinnamomi Ramulus,辛温解表药,"(1S,4R,4aR,8aR)-1-isopropyl-4,7-dimethyl-2,3,4,5,6,8a-hexahydro-1H-naphthalen-4a-ol",MOL010120,10120,87,,CHRNA7,"Neuronal acetylcholine receptor protein, alpha-7 chain",581,4095,0.873764,0.71,0.791882,CHRNA7,P36544
桂枝,Guizhi,Cinnamomi Ramulus,辛温解表药,"(1S,4R,4aR,8aR)-1-isopropyl-4,7-dimethyl-2,3,4,5,6,8a-hexahydro-1H-naphthalen-4a-ol",MOL010120,10120,87,,GABRA5,Gamma-aminobutyric-acid receptor alpha-5 subunit,181,523,0.927573,0.708,0.8177865,GABRA5,P31644
桂枝,Guizhi,Cinnamomi Ramulus,辛温解表药,"(1S,4R,4aR,8aR)-1-isopropyl-4,7-dimethyl-2,3,4,5,6,8a-hexahydro-1H-naphthalen-4a-ol",MOL010120,10120,87,,PTGS2,Prostaglandin G/H synthase 2,94,290,0.81262,0.752,0.78231,PTGS2,P35354
生姜,Shengjiang,Zingiber Officinale Roscoe,辛温解表药,"(1S,4R,4aR,8aR)-1-isopropyl-4,7-dimethyl-2,3,4,5,6,8a-hexahydro-1H-naphthalen-4a-ol",MOL010120,10120,87,,CHRM1,Muscarinic acetylcholine receptor M1,38,103,0.92501,0.726,0.825505,CHRM1,P11229
生姜,Shengjiang,Zingiber Officinale Roscoe,辛温解表药,"(1S,4R,4aR,8aR)-1-isopropyl-4,7-dimethyl-2,3,4,5,6,8a-hexahydro-1H-naphthalen-4a-ol",MOL010120,10120,87,,CHRM2,Muscarinic acetylcholine receptor M2,210,617,0.929072,0.7,0.814536,CHRM2,P08172
生姜,Shengjiang,Zingiber Officinale Roscoe,辛温解表药,"(1S,4R,4aR,8aR)-1-isopropyl-4,7-dimethyl-2,3,4,5,6,8a-hexahydro-1H-naphthalen-4a-ol",MOL010120,10120,87,,CHRNA7,"Neuronal acetylcholine receptor protein, alpha-7 chain",581,4095,0.873764,0.71,0.791882,CHRNA7,P36544
