原始行号（去重映射）,molecule_ID,SMILES,STP查询编号,预测状态,去重预测靶点数,中药数,TCMSP_MOL_ID数,分子名称数,molecule_ID连接状态,SMILES审计
2476,10395,COc1c(O)c(C)c(O)c2c1OC[C@@H](Cc1ccc(O)cc1)C2=O,STP02471,成功（100条，已去重）,100,1.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
2690,10396,Cc1c(O)c(C)c2c(c1O)C(=O)[C@H](Cc1ccc(O)cc1)CO2,STP02685,成功（100条，已去重）,100,1.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
2251,1040,O=C1C[C@H](c2ccc(O)cc2)Oc2cc(O)cc(O)c21,STP02246,成功（100条，已去重）,100,17.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
2858,10412,COc1ccc(C[C@H]2COc3c(C)c(O)c(C)c(O)c3C2=O)cc1,STP02853,成功（100条，已去重）,100,1.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
3962,10413,CC[C@@H](C)CC(C)=O,STP03955,成功（100条，已去重）,100,1.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
3494,10417,CCCCCC/C=C/C/C=C/CCCCCCC(=O)O,STP03488,成功（100条，已去重）,100,1.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
2224,10421,COc1cc2c[n+](C)c3c4cc5c(cc4ccc3c2cc1O)OCO5,STP02219,成功（100条，已去重）,100,1.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
3703,10424,CCCC/C=C/C/C=C/CCCCCCCCC(=O)O,STP03697,成功（100条，已去重）,100,2.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
2527,10425,Cn1c(=O)c2cc3c(cc2c2ccc4cc5c(cc4c21)OCO5)OCO3,STP02522,成功（100条，已去重）,100,1.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
3245,10429,C[C@@H]1CC[C@@]2(CO)C(CO)=CCC[C@@H]2[C@@]1(C)CCC1=CCOC1=O,STP03239,成功（100条，已去重）,100,1.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
1213,10430,C=CCc1cc(OC)c(OC(=O)CC(C)C)c(OC)c1,STP01211,成功（100条，已去重）,100,1.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
501,10431,C=CCc1ccc(OC(=O)[C@H](C)CC)c(OC)c1,STP00500,成功（100条，已去重）,100,1.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
540,10434,COc1ccc(-c2oc3cc(OC)c(O)c(O)c3c(=O)c2OC)cc1OC,STP00539,成功（100条，已去重）,100,1.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
2032,10435,COc1ccc(-c2oc3cc(OC)c(O)c(O)c3c(=O)c2OC)cc1,STP02027,成功（100条，已去重）,100,1.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
3707,10467,CCCC#CC#C/C=C/COC(C)=O,STP03701,成功（100条，已去重）,100,1.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
234,10468,COc1cc2c(cc1C)C(C(C)C)=CC(=O)[C@]2(C)O,STP00233,成功（100条，已去重）,100,1.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
2503,10469,COc1ccc(-c2oc3cc(OC)c(O)c(O)c3c(=O)c2OC)cc1O,STP02498,成功（100条，已去重）,100,1.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
2588,1047,COc1cc([C@H]2OC[C@H]3[C@@H]2CO[C@H]3c2cc(OC)c3c(c2)OCO3)cc2c1OCO2,STP02583,成功（100条，已去重）,100,1.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
1800,10480,CC(=O)O[C@@H]1[C@@H](C(C)C)[C@@H](OC(C)=O)C/C(C)=C/CC[C@@]2(C)O[C@@H]12,STP01796,成功（100条，已去重）,100,1.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
2649,10481,O=S(=O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,STP02644,成功（100条，已去重）,100,1.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
3643,10482,CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,STP03637,成功（100条，已去重）,100,1.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
2782,10485,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O,STP02777,成功（100条，已去重）,100,1.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
4138,10487,COC(=O)C1=CCCNC1,STP04131,成功（100条，已去重）,100,1.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
3621,10488,CCCCCC/C=C\CCCCCCCCC(=O)O,STP03615,成功（100条，已去重）,100,1.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
2331,10489,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@@H](O)[C@H]2O,STP02326,成功（100条，已去重）,100,4.0,1.0,1.0,molecule_ID精确匹配,全量源表未提供可核验SMILES；仅保留Swiss原始SMILES供原始行号审计
